Price,Close,Volume,Adj_Close,Returns,MA_7,MA_30,RSI,Volatility
Ticker,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,
1981-04-20,0.11495500057935715,35347200,0.08804025501012802,0.0299983177030807,0.09200909201587949,0.0866443820297718,55.404801509179,0.03339554720398675
1981-04-21,0.12276799976825714,28537600,0.09402395039796829,0.0679654481595029,0.09200909201587949,0.0870860055088997,63.953028285838926,0.03570923518836495
1981-04-22,0.12723200023174286,18995200,0.09744282066822052,0.036361695672022076,0.09231434336730412,0.08776982426643372,68.47742693661988,0.03647755094166589
1981-04-23,0.13057999312877655,58016000,0.10000690072774887,0.026313688806881785,0.09298589187008995,0.0886388269563516,64.19619279234684,0.03638672370815249
1981-04-24,0.12946400046348572,35056000,0.09915225952863693,-0.008545822267190806,0.09353534877300262,0.08937962700923284,62.19412250045335,0.0360729373300933
1981-04-27,0.1283479928970337,38528000,0.09829746931791306,-0.00862098569198011,0.09463425299951009,0.09012042333682378,63.75015771440824,0.03498269542660694
1981-04-28,0.12611599266529083,32188800,0.09658807516098022,-0.017390011856808996,0.09622167583022799,0.0907044991850853,62.19536540206887,0.035407913333704924
1981-04-29,0.12444200366735458,13641600,0.09530606120824814,-0.013273004463495108,0.09725964814424515,0.09111763487259547,54.66651821182894,0.03549658395059669
1981-04-30,0.12667399644851685,12611200,0.09701542556285858,0.01793552616633054,0.09768700173922948,0.09141680722435315,54.666444448938385,0.03533347816442973
1981-05-01,0.12667399644851685,16553600,0.09701542556285858,0.0,0.09762594529560634,0.09174447009960811,52.777563223289086,0.03003646794053891
1981-05-04,0.12611599266529083,14448000,0.09658807516098022,-0.004404973738959317,0.09713754164321083,0.09202939743796984,52.05462244376712,0.03009557442982895
1981-05-05,0.125558003783226,17539200,0.09616077691316605,-0.0044239234201739475,0.09671018698385783,0.09218609606226286,51.35130423392483,0.02969762678235974
1981-05-06,0.12221000343561172,18950400,0.09359661489725113,-0.026665362928903757,0.0960386363523347,0.09227156639099121,55.072218433759325,0.03035713914788305
1981-05-07,0.12388399988412857,9363200,0.09487864375114441,0.013697384839191695,0.0957944318652153,0.09245677664875984,68.3343561170018,0.02858363631423652
1981-05-08,0.125,7907200,0.09573342651128769,0.009009221952890334,0.0958554840513638,0.09272746195395788,66.07266383202341,0.028368491218219286
1981-05-11,0.12221000343561172,11939200,0.09359661489725113,-0.02232043385373461,0.09536708252770561,0.09302663380901019,48.93621362082793,0.028682047771209775
1981-05-12,0.12221000343561172,4256000,0.09359661489725113,0.0,0.0948786810040474,0.0933258056640625,38.461418106375184,0.028682047771209775
1981-05-13,0.12165199965238571,4905600,0.09316926449537277,-0.004565874549496196,0.09439027948038918,0.09363922427097957,26.47060633315249,0.028695902087088287
1981-05-14,0.11997800320386887,4928000,0.0918872132897377,-0.013760452146734936,0.093779770391328,0.09393839836120606,25.714204591870285,0.026548568201219827
1981-05-15,0.12276799976825714,4905600,0.09402395039796829,0.023253911308563247,0.09384081832000188,0.09406660298506418,36.84208353061651,0.023219422411331746
1981-05-18,0.125,4166400,0.09573342651128769,0.018181283663192493,0.09396293014287949,0.09423754587769509,47.36859974151446,0.022695008836285564
1981-05-19,0.12276799976825714,25424000,0.09402395039796829,-0.01785662725775139,0.09371871926954814,0.09440851310888926,46.153718922553146,0.017590575436033925
1981-05-20,0.12667399644851685,13283200,0.09701542556285858,0.03181609741165414,0.09420712079320635,0.09470768546064695,50.0,0.01712112615443102
1981-05-21,0.13392899930477142,32211200,0.10257184505462646,0.05727356716244825,0.09548929652997426,0.09504959583282471,61.81944337025857,0.020665848305278352
1981-05-22,0.140066996216774,31427200,0.1072726845741272,0.045829725662019705,0.09750407082693917,0.09549122030536333,69.23151402925956,0.02275085984884625
1981-05-26,0.13950900733470917,85344000,0.10684535652399063,-0.0039835681546803725,0.09964094843183245,0.09587586348255475,69.23143975500653,0.022636813077349344
1981-05-27,0.14732100069522858,149497600,0.1128283217549324,0.05599649274040641,0.10232728719711304,0.0964599388341109,80.82227407225199,0.024763734671973067
1981-05-28,0.14732100069522858,73987200,0.1128283217549324,0.0,0.10476941508906228,0.09704401418566704,80.00041840806193,0.024335323069639606
1981-05-29,0.1478790044784546,59382400,0.11325564235448837,0.0037873522614662036,0.10751679965427943,0.09779903093973795,79.7105041479633,0.024259792857279947
1981-06-01,0.1478790044784546,51251200,0.11325564235448837,0.0,0.10983683062451226,0.09872501517335573,85.93783028715505,0.024259792857279947
1981-06-02,0.140625,40432000,0.10770010203123093,-0.04905309976406025,0.11056943876402718,0.0993803434073925,71.42932506169765,0.027326072281267905
1981-06-03,0.140625,39446400,0.10770010203123093,0.0,0.1106304984007563,0.09983621512850126,72.36915571203177,0.027256682148645888
1981-06-04,0.14341500401496887,56067200,0.10983679443597794,0.01983927929917284,0.11105784667389733,0.1002493475874265,76.92361506912081,0.026286877674754724
1981-06-05,0.141183003783226,57680000,0.1081274226307869,-0.015562834057283093,0.11038628965616226,0.10052003165086111,71.42935093927805,0.026783579039365703
1981-06-08,0.13616099953651428,93497600,0.10428126156330109,-0.035570634848284044,0.10916528105735779,0.10069099838534991,62.19600375977655,0.028404283314883736
1981-06-09,0.13895100355148315,119593600,0.10641801357269287,0.0204902777101017,0.10818847694567271,0.10096168319384256,67.47076500912974,0.0278717296022078
1981-06-10,0.140625,25222400,0.10770010203123093,0.012047663882226889,0.1073948283280645,0.10133208408951759,65.82376838536705,0.02784707785099967
1981-06-11,0.14676299691200256,38976000,0.11240090429782867,0.04364714775511169,0.10806637150900704,0.10190191219250361,64.93511904088032,0.028825610132005148
1981-06-12,0.14508900046348572,25804800,0.1111188754439354,-0.011405858893237086,0.10855476771082197,0.10237202718853951,56.521830312417485,0.028728885240710652
1981-06-15,0.1445309966802597,143763200,0.11069149523973465,-0.0038461530724938076,0.10867686782564435,0.1028278961777687,56.52173034182549,0.028706789936057537
1981-06-16,0.14174099266529083,37251200,0.10855472832918167,-0.019303803837188993,0.10873791149684361,0.10322678461670876,41.666453579058214,0.029265296614403392
1981-06-17,0.13950900733470917,27574400,0.10684535652399063,-0.015746636111579893,0.10910421077694211,0.10358293727040291,39.06233144423753,0.029175750980307516
1981-06-18,0.13895100355148315,23049600,0.10641801357269287,-0.003999639902009244,0.10910421077694211,0.10401031722625097,37.49990125024007,0.028654811808580673
1981-06-19,0.13504500687122345,27507200,0.10342653095722198,-0.02811067896345798,0.10849370062351227,0.10429524679978688,33.802679252186365,0.026758063280342758
1981-06-22,0.13002200424671173,10841600,0.09957956522703171,-0.03719515384095606,0.10666208075625556,0.10442345142364502,35.81972186920713,0.02582057366487987
1981-06-23,0.1322540044784546,15030400,0.10128898173570633,0.017166338342383014,0.10525781022650856,0.10467986365159353,39.43545492002736,0.02622528158038467
1981-06-24,0.1289059966802597,23027200,0.09872489422559738,-0.0253145748547402,0.10354829579591751,0.10485080629587173,31.94362453939361,0.02278213815508893
1981-06-25,0.13169600069522858,24259200,0.10086163878440857,0.021643422113256428,0.10244928300380707,0.10510721877217293,38.35514203498579,0.023601768160010035
1981-06-26,0.13002200424671173,23788800,0.09957956522703171,-0.01271121085110749,0.10141131281852722,0.10536363050341606,41.78981170654813,0.02355481540117609
1981-06-29,0.125558003783226,10595200,0.09616077691316605,-0.034332227762504886,0.09994599329573768,0.10543485805392265,32.85622597703858,0.024321622567590163
1981-06-30,0.11607100069522858,35907200,0.08889493346214294,-0.07555932558224043,0.09787005079644066,0.10520690828561782,23.80829733339283,0.027232111079770447
1981-07-01,0.11495500057935715,170464000,0.08804025501012802,-0.009614478786677982,0.09622157790831157,0.10500745177268982,11.99939006205608,0.027146045675512154
1981-07-02,0.11495500057935715,30284800,0.08804025501012802,0.0,0.09432890266180038,0.10470827942093214,12.499328088143216,0.02636205613458835
1981-07-06,0.11104899644851685,16531200,0.08504876494407654,-0.033978661984876646,0.09237516990729741,0.10412417675058047,11.537888159887174,0.026859108852812643
1981-07-07,0.11216499656438828,15836800,0.08590347319841385,0.010049625704727339,0.09023828910929817,0.10341186970472335,14.6659290389765,0.026651239008359983
1981-07-08,0.11662899702787399,16620800,0.08932233601808548,0.03979888929257824,0.08877297065087728,0.10282776902119319,24.04956919570546,0.02809778430963172
1981-07-09,0.10770100355148315,32883200,0.0824846476316452,-0.07655071162778171,0.08681923789637429,0.1018163132170836,20.211999244793958,0.031493601853780424
1981-07-10,0.09933000057935715,55171200,0.07607357949018478,-0.07772438054279585,0.08498761590038027,0.10059115514159203,18.62647894545688,0.03174334365272522
1981-07-13,0.1015629991889,45740800,0.0777837485074997,0.022480459428566357,0.08352240068571908,0.09940875868002573,23.711866779749172,0.033038763303708085
1981-07-14,0.10602699965238571,19779200,0.08120259642601013,0.043953241957486844,0.08254559231655938,0.09834032381574313,26.73304548275098,0.035674913951302886
1981-07-15,0.10881700366735458,10953600,0.08333934098482132,0.02631374676249587,0.08230138889380864,0.09752829844752947,32.000025103911014,0.036808867773357165
1981-07-16,0.11160700023174286,15232000,0.0854761153459549,0.025639443939480477,0.08224033777202878,0.0967874988913536,32.00007252235902,0.03776593246133231
1981-07-17,0.11551299691200256,19824000,0.08846759796142578,0.03499787751658112,0.08211823233536311,0.09607519234220187,37.499796751204194,0.03909717226530634
1981-07-20,0.10770100355148315,23654400,0.0824846476316452,-0.06762871907508217,0.08211823233536311,0.0952204331755638,35.45442601459233,0.04109071627435737
1981-07-21,0.10714299976825714,31942400,0.08205729722976685,-0.005180968994215607,0.08297304915530342,0.09447963436444601,41.48972236894425,0.0406139191926255
1981-07-22,0.10100399702787399,22668800,0.07735564559698105,-0.05729717881909768,0.08291189159665789,0.09351088876525561,37.86385648779095,0.04150883931321039
1981-07-23,0.10379499942064285,34451200,0.07949316501617432,0.02763236480928155,0.08266768710953849,0.0925706575314204,40.741346951774524,0.04233220344889073
1981-07-24,0.10714299976825714,28851200,0.08205729722976685,0.032256008589805374,0.08248453800167356,0.091559203962485,46.72920295156059,0.04281224417001542
1981-07-27,0.11160700023174286,17337600,0.0854761153459549,0.041663791419001894,0.08248453800167356,0.09070444529255231,49.557546152613135,0.04429009305875836
1981-07-28,0.10770100355148315,22848000,0.0824846476316452,-0.03499770318529416,0.08162983081170491,0.08976421703894934,42.85756756693654,0.044312225659526465
1981-07-29,0.10602699965238571,15500800,0.08120259642601013,-0.015542906982646931,0.08144668063947133,0.08885247930884362,48.48496801311524,0.04133487436297321
1981-07-30,0.10993299633264542,9900800,0.08419407159090042,0.03683964918062754,0.08175193411963326,0.08809743647774061,60.4399492712532,0.042278646270342626
1981-07-31,0.11160700023174286,10953600,0.0854761153459549,0.015227244992782163,0.08291200122662953,0.08739937320351601,59.99961646177073,0.04244129335703592
1981-08-03,0.11049100011587143,12432000,0.08462145924568176,-0.009998770964426806,0.08364461468798774,0.086772537479798,54.761764423869174,0.04178237575291084
1981-08-04,0.11216499656438828,31673600,0.08590347319841385,0.015149986352870792,0.08419406839779445,0.08631666774551074,53.6584064301687,0.04185860455548488
1981-08-05,0.11551299691200256,17494400,0.08846759796142578,0.029848906773414008,0.08462142305714744,0.08588928828636805,54.21671284806182,0.04142826040773624
1981-08-06,0.11272300034761429,10528000,0.08633086830377579,-0.024152680833288365,0.0851708831531661,0.085476154088974,46.91375535301546,0.03780745697973631
