Model,RMSE,MAE,Best_Model_By_RMSE,Best_Model_By_MAE
LSTM,99.81068016500038,76.44284057617188,True,True
RF,121.88869056243308,98.1558363931312,False,False
XGB,123.57203507089498,100.23967742919922,False,False
