Model,RMSE,MAE,Best_Model_By_RMSE,Best_Model_By_MAE
LSTM,97.28701195592606,74.16969299316406,True,True
RF,121.9758345098866,98.24758565749552,False,False
XGB,123.49129761216982,100.21155548095703,False,False
